,ra,dec,z,bcg_x,bcg_y,origin_ID
0,203.8337226793197,41.0011464409052,0.23174694,669.9330422109326,957.7522497470302,2
1,140.21889165811078,30.46118717712651,0.29424559999999994,1343.8544910189792,514.1590972266172,7
2,130.7398189043654,36.36646003953564,0.29645097,1349.6394685311639,1357.858742143932,10
3,174.05435379455596,40.043272298621616,0.2945722,1298.9782546580022,588.9685741391403,12
4,210.2521998905589,2.8638091045806404,0.25708973,1722.4352790500675,44.40080121238123,14
5,188.56728230785905,15.252336618148355,0.27977693,692.0421712413112,467.6534648804745,15
6,161.87087891344262,15.233911753538266,0.20857787,1160.8980477013165,882.3657132423018,17
7,16.230713631398995,0.060093083024781925,0.27608192,805.1756948913707,1433.1421326189466,18
8,192.3420829362044,49.79503970710243,0.28724770000000005,293.61814009483805,251.05081299664715,19
9,201.75420950276046,2.2054218806332626,0.2600985,250.771983135328,365.2482231655458,28
10,163.5730968002746,14.651168356742813,0.2970839000000001,197.44653032356842,1114.6678070762218,31
11,137.7733265845257,61.129825400208034,0.28957656,1311.7873624016747,1287.1580368035468,35
12,187.2605719123928,47.62237914373845,0.25267258,1391.763338250306,229.82740985090072,37
13,9.57549800341985,9.463182441093377,0.28362858,1208.2743510305756,528.5442910085673,40
14,185.6720934931271,2.0997009148511507,0.22911087,238.0275338766625,102.20795598017672,41
15,2.3360866391128643,6.823088301213932,0.24398266,1620.1009124701507,430.3994776464813,42
16,142.7069494638422,28.85222610721057,0.29905593,1655.0042283921591,1417.808371314091,47
17,184.48662777963824,20.67136752278499,0.21443991,468.03385452650497,745.3067921698511,51
18,155.2866704709054,14.767664392406068,0.24841015,887.7963674331934,216.6858458379596,61
19,334.315983702489,9.052793669803416,0.28500324,1912.803780508078,194.18119096066155,66
20,201.50228458054488,12.378766184237936,0.20602646,1366.8987262328098,1209.2309894918458,69
21,142.01888052439696,20.52919699032965,0.20824991,1110.1239875210595,128.00563340361748,74
22,127.49773905910564,56.3290373227289,0.28901133,629.0140829911461,531.0556345989071,76
23,149.9451707801509,22.40269194706308,0.25362083,1736.3254695245444,1175.6308896272608,77
24,358.91160430600587,1.7652663574060532,0.24655814,1152.0929825342846,857.3261514824419,80
25,12.771797942357352,26.287973218104238,0.24628298,581.8510352845989,873.7839290835153,84
26,172.46469947626252,2.937972652374772,0.23823870000000005,770.4264608209284,1323.1896101957325,90
27,140.53187200525454,3.76632940215769,0.277344,1825.2935535625827,996.4931951390976,91
28,146.73028244800727,15.190685794046914,0.23470041,971.1739535793016,70.87553859837102,99
29,125.11184818605564,7.613922884424268,0.22618544,1867.8565177608555,704.1841132220543,103
30,130.13604615299332,5.712864957495668,0.2852671,1247.3204286284586,232.56682463115814,110
31,130.62388650354953,8.302270549029991,0.23589924,734.702565125531,890.2765550908897,112
32,237.1405341856728,36.09323679843965,0.24915533,1306.8622598506565,1091.4107106483318,113
33,7.225206091609608,7.835035389957127,0.27922615,1262.298685611965,1159.7589559987512,115
34,233.83108140443687,34.35797233346939,0.23222087,1409.5000390802468,888.9363852523477,118
35,168.19808626627406,2.502992486041581,0.27223596,1057.6616093095347,647.7593762487036,124
36,174.74792496257106,63.589196995914705,0.21073866,132.56329674163817,805.3547244221651,125
37,16.54324207894651,0.8556917872165687,0.26237586,209.9829741239389,556.9415268929076,133
38,16.03031124256421,25.015337935326404,0.2778487,1996.4415816619824,968.9430181174048,137
39,209.90849617051083,14.280111635782266,0.20983465,1866.5910160597427,829.0044736136177,140
40,183.28134052539212,34.176188198538426,0.22222151,315.646145562937,156.1266140795052,148
41,155.91948070646754,4.187515165496148,0.29173332,281.4059292532357,1146.6513428707271,152
42,146.13846070524056,9.532386600238153,0.21521822,1551.0759643765198,784.1144782133902,155
43,130.3095385581728,7.978787806252669,0.22459233,421.9727867079406,1070.9021853262257,164
44,209.08511192062903,10.790048056077037,0.2474393,1793.3824580770565,1404.7085305163168,169
45,197.59249955765824,21.834899312910924,0.28008774,395.7173509308294,695.9215417722736,170
46,358.5084273914105,30.585053477193288,0.2729632,323.84587430606086,598.2815381093977,173
47,180.36479358843613,8.6629047793802,0.25767684,1316.9912641471303,1167.2125109501694,177
48,205.93495656832886,40.073491087902866,0.22929545,1515.5981640040357,797.476874264117,179
49,186.45177230948585,7.971487666591532,0.25274852,580.4629662211305,714.2657531363263,182
50,231.0812857892367,35.266487996963036,0.25578028,322.3185268899388,199.22543852269783,190
51,170.8009929513495,6.982634969549537,0.24196912,1258.9346031895766,1075.0691986245672,191
52,137.16339725236028,6.9977824907263315,0.22219214,399.2914307642459,747.7811888408768,192
53,200.82895858411166,21.40280365619852,0.24299979,957.8564367178864,505.5626156546698,195
54,34.6274823986822,-0.4296599854623253,0.28174207,1894.4293908786954,874.5812578110808,201
55,200.0937621351916,5.164687540092084,0.27711484,1249.5526104253336,503.2525659413806,204
56,28.357065410037517,-1.1600140337804994,0.23456444,981.6544029883604,638.6244015582478,207
